Movie_Name,Genre,Ratings,Voting_Counts,Duration
The Ministry of Ungentlemanly Warfare,Action,6.8,160000,103
Gladiator II,Comedy,6.4,301000,159
The Substance,Drama,7.2,435000,136
Milk & Serial,Sci-Fi,6.6,4500,115
Dune: Part Two,Horror,8.4,756000,105
We Bury the Dead,Thriller,5.6,15000,123
Speak No Evil,Romance,6.8,137000,96
Wicked,Action,7.3,241000,116
It Ends with Us,Comedy,6.3,102000,114
The Life of Chuck,Drama,7.3,73000,165
Anora,Sci-Fi,7.4,285000,100
Sonic the Hedgehog 3,Horror,6.9,81000,148
A Complete Unknown,Thriller,7.3,118000,139
Twisters,Romance,6.5,196000,130
The Fall Guy,Action,6.8,265000,131
Despicable Me 4,Comedy,6.2,80000,93
Longlegs,Drama,6.5,226000,105
The Idea of You,Sci-Fi,6.3,86000,137
Trap,Horror,5.8,167000,139
The Beekeeper,Thriller,6.3,181000,107
Deadpool & Wolverine,Romance,7.5,571000,147
Juror #2,Action,7.0,127000,112
Heretic,Comedy,7.0,228000,160
The Wild Robot,Drama,8.2,226000,121
Relay,Sci-Fi,7.0,38000,100
Alien: Romulus,Horror,7.1,289000,152
Babygirl,Thriller,5.7,82000,99
Challengers,Romance,7.0,179000,103
Eden,Action,6.5,45000,158
Nosferatu,Comedy,7.1,267000,147
Oddity,Drama,6.7,59000,128
Smile 2,Sci-Fi,6.7,144000,116
The Brutalist,Horror,7.2,149000,93
Road House,Thriller,6.2,186000,108
Afraid,Romance,5.2,18000,91
Civil War,Action,7.0,269000,104
Blink Twice,Comedy,6.5,130000,107
MaXXXine,Drama,6.2,88000,126
Last Night on Earth,Sci-Fi,4.7,780,125
K-Pops!,Horror,5.9,313,96
Kraven the Hunter,Thriller,5.5,83000,136
Furiosa: A Mad Max Saga,Romance,7.5,321000,145
Kingdom of the Planet of the Apes,Action,6.8,169000,112
The Surfer,Comedy,5.9,21000,118
Abigail,Drama,6.5,120000,99
Carry-On,Sci-Fi,6.5,195000,107
Caddo Lake,Horror,6.8,56000,102
Flow,Thriller,7.8,139000,104
Joker: Folie à Deux,Romance,5.2,184000,108
Godzilla X Kong: The New Empire,Action,6.0,136000,148
